,Id1,Id2,Type of Content
0,jayspartan20,MasterAtWorkinc,RT
2,Layne__w,FormerNFLFan789,RT
3,texaskid4life,MasterAtWorkinc,RT
6,floydianship,MasterAtWorkinc,RT
7,BornCincyFan,nflcommish,Mention
7,BornCincyFan,NFL,Mention
8,MasterAtWorkinc,MasterAtWorkinc,RT
9,PropMclaughlin_,Mikechanginvest,RT
10,THE_GRAYF0X,JoeGoodberry,Mention
10,THE_GRAYF0X,nfl,Mention
11,NoDiiscussiion,CoachOBrien,Mention
11,NoDiiscussiion,WokeThuney,Mention
11,NoDiiscussiion,NFL_DovKleiman,Mention
11,NoDiiscussiion,Real10jayy__,Mention
12,Pqranold,edits841,RT
14,WTFinSoCal,heyjacqui_,Mention
15,FormerNFLFan789,THE_GRAYF0X,RT
15,FormerNFLFan789,nfl,RT
15,FormerNFLFan789,NFLOfficiating,RT
15,FormerNFLFan789,nflcommish,RT
17,THE_GRAYF0X,nfl,Mention
17,THE_GRAYF0X,NFLOfficiating,Mention
17,THE_GRAYF0X,nflcommish,Mention
18,jackihillis22,DonCoop20,Mention
18,jackihillis22,PFTCommenter,Mention
18,jackihillis22,ArianFoster,Mention
20,KecksterFal,_willcompton,Mention
21,SkylerBertram1,VivaLaStool,RT
21,SkylerBertram1,ArianFoster,RT
21,SkylerBertram1,MacrodosingPod,RT
22,RicoMuscatel,NFLonFOX,Mention
22,RicoMuscatel,Chiefs,Mention
22,RicoMuscatel,Eagles,Mention
23,EspressoJose,tipico,Mention
24,thetadrivium,Throwback420,RT
25,thetadrivium,GetYoShinebox,RT
27,plingon11,Readitandweep2,Mention
29,Jan11555,taufikl,Mention
30,SpadedLord,midwest_fancy,RT
32,Dwheel_14,NFL,Mention
32,Dwheel_14,NFLonFOX,Mention
32,Dwheel_14,NFLFilms,Mention
32,Dwheel_14,Chiefs,Mention
32,Dwheel_14,Bengals,Mention
33,ubok1978,Kramed67037,Mention
33,ubok1978,GottliebShow,Mention
34,Viyapoo,WWERuthlessEra,RT
35,punkrockdub,GeneSteratore,Mention
36,Lvnd00,NFL,Mention
36,Lvnd00,nflnetwork,Mention
36,Lvnd00,ESPNNFL,Mention
39,ubok1978,Aftermath_KC,Mention
40,BREAK_BoyAplus,FormerNFLFan789,RT
42,SpikeTheNews2,FormerNFLFan789,RT
43,Lisa20271524,Sir_Saint1,RT
44,ayoo_noah,FormerNFLFan789,RT
45,ayoo_noah,edits841,RT
46,FormerNFLFan789,edits841,RT
47,BenLineback,FormerNFLFan789,RT
49,edits841,FormerNFLFan789,RT
50,phee2_mc,FormerNFLFan789,RT
51,InkyBri,NFL,Mention
52,DigitalPtGuard,FormerNFLFan789,RT
54,SiefkenRobert,AdamSchefter,Mention
55,grandadteddy,AdamSchefter,Mention
57,LordShaq2,FormerNFLFan789,RT
58,Shadology101,FormerNFLFan789,RT
59,DanielMusto10,FormerNFLFan789,RT
61,cammarshallfilm,TH3_GOD_,Mention
61,cammarshallfilm,YoungAngel_,Mention
61,cammarshallfilm,FirstTake,Mention
61,cammarshallfilm,MikeFrancesa,Mention
62,FormerNFLFan789,MAGAMAN858,RT
62,FormerNFLFan789,NFL,RT
63,FormerNFLFan789,BornCincyFan,RT
63,FormerNFLFan789,nflcommish,RT
63,FormerNFLFan789,NFL,RT
66,FootballFan734,nflcommish,Mention
67,wtondo,TheHouse_Ent,RT
68,_TheZyro,barstoolsports,RT
71,MAGAMAN858,NFL,Mention
72,Piersky65,realAlexRWagner,RT
73,_VictorChaos,Billyhottakes,Mention
73,_VictorChaos,PFN365,Mention
74,THE_GRAYF0X,WilliamScottDe3,Mention
74,THE_GRAYF0X,GottliebShow,Mention
75,THE_GRAYF0X,NFL,Mention
76,SiefkenRobert,Chiefs,Mention
78,rusteezeworld,WorimiFella,RT
78,rusteezeworld,Bengals,RT
79,Gruelingtruth,thebengalorian,Mention
79,Gruelingtruth,TheBengalsWire,Mention
79,Gruelingtruth,WhoDey_UK,Mention
