,A-B_follower_count,A-B_following_count,A-B_listed_count,A-B_mentions_received,A-B_retweets_received,A-B_mentions_sent,A-B_retweets_sent,A-B_posts,A-B_network_feature_1,A-B_network_feature_2,A-B_network_feature_3,predictions
0,-34235,-29506,-1686,-14.846518229689,-3.8835254463549997,-8.103827839914999,-0.231919685184,-6.626664888586999,-64,90.9696969697,9438.10606061,[0]
1,-17671,331,-1382,49.9614851467,16.854684837199997,2.4816517479499995,0.546816093277,4.10629931584,206,-113.5877040247,-1601.14928967,[1]
2,3688,733,-105,24.768948900812,9.201968543231,4.758316966748,0.49070224841199994,2.9865161037080004,92,58.59450171819999,5722.563573887,[1]
3,-19542,-17630,-276,-565.18403178621,-390.016375259151,-26.22053243309,-7.067053387055,-29.271279362589997,-1756,-21.4692957746,-1299.6789671333001,[0]
4,38035,-849,2460,127.25241326390001,33.41722272863,21.11711088829,2.21376510562,19.29803539087,466,78.904293381,840.2200357700001,[1]
5,274588,274751,2943,-21.2649309036,1.3690067739399998,-19.547561096265,-1.761261848615,-12.160525855065,-68,-62.6253665691,1663.1217008799995,[1]
6,100119,275250,-11700,-246.68629240740003,-47.053214843949995,-13.011400390764999,-0.234262308266,-13.564669207965,-868,-128.1797772011,-1177.3881219200002,[0]
7,1392,-698,-746,44.79842555296,21.09391363081,-1.236647791737,-0.4953086539039999,5.47319581505,166,-193.8547619044,-3738.4258503430005,[1]
8,1975203,3973,5737,6289.148958692,2737.8636929090003,8.84051100666,1.9373218745620002,63.130745490710005,19657,-69.1107337271,-2752.24455303,[1]
9,64685,103,-6119,-43.910320100999996,6.692734592700006,12.2543586017,-2.466765808905,5.019476451699999,-224,90.95448305700003,2502.12642794,[0]
10,-319482,-34345,-22086,-176.243523837988,-42.229718021265,-6.487077160487,-1.2445700395650001,-3.997715380077,-695,-234.338068182,-7157.46448864,[0]
11,-81224,-65608,-4938,-147.9362439194,-66.95541972498,-5.379845615515,0.0,-71.778770395665,-559,-187.1054974832,-8681.39547038,[0]
12,22480,-502,797,115.75996735036999,56.355926659619,1.23784751201,-1.191738994856,5.40384915088,455,-87.152998066,-266.72301741,[1]
13,4097336,-13,26551,7011.8688006106995,3761.3947017712,2.001490664095,0.23901878202899998,4.4335529192,25102,-43.6219530311,-5807.4682022,[1]
14,-2423,-4543,-15,-0.48634318757000017,-1.130435823555,-1.313598363045,-0.26428960572500004,-2.355551776305,1,-11.444444444399998,-682.666666667,[0]
15,47961,21848,903,59.63233972617,18.266535098919,-5.034854502465,-1.931955380975,-4.322652435065001,218,-112.0202887245,575.9551306999997,[1]
16,-3161653,149,-507,-1248.3334665272,-978.71303057252,-12.862921871965,-2.279514719085,-100.43729330246501,-4779,-4.9061738424,-1417.107913009,[0]
17,-208761,401,-5443,-0.731734308,10.4678879067,6.845729896385,0.24143311316000002,0.7209987236500002,-9,97.5698643941,-3925.04590434,[0]
18,265039,61,543,631.157638938183,457.54804648946504,5.360482129195001,0.0,7.397623139705001,2600,-201.1736861722,-3415.974531001,[1]
19,623649,-31055,2578,1408.488456229,279.6637008588,-3.0825583182,1.7577229117150002,-1.9801207861600005,4452,-106.59657080529999,-2996.2714349200005,[1]
20,-35067995,-135941,-238645,-32692.881772863,-6426.62300356,6.609777445065,0.0,7.8740451431950005,-52938,36.52349634710001,2985.4137882100003,[0]
21,4862272,-66935,21216,1623.873471047,762.7821096163,-5.379845615515,0.0,-71.778770395665,6753,-179.3390816249,-6512.37303361,[1]
22,-514940,1930,-11034,-108.3894345269,-51.559621279219996,-0.4781439334900002,-0.5153935071769999,-0.99551138321,-470,123.09686844500001,2945.5,[0]
23,-4491288,-720,-29874,-4499.895747831465,-2206.471394261465,-26.866421384765,-12.527779364065,-28.725446763190003,-16646,-22.7477263271,-2206.42073352,[0]
24,-69710,24700,-219,-73.41301443063,-35.61398959747,-5.53125229198,-1.28014042002,30.3820680446,-284,112.43410293425,13652.14021163,[0]
25,-281315,-37530,-21515,-143.9840631775,-25.8023755151,-2.2584967664000004,0.24229178579,6.4725100620200005,-574,-219.3461982633,-5123.55391953,[0]
26,2689652,-46705,10733,4938.236708527,-61.934285075780004,-4.669888366274,0.23901878202899998,-70.79751644756,17981,-201.10193619135998,-9125.427575785,[1]
27,71967,-22433,5466,377.64663549333,164.47595470897,7.302119939520001,4.03320790913,-31.6942936703,1318,-60.0031240073,-13683.88070527,[1]
28,-100627,-127020,3655,-27.848018732000014,-44.23448222980001,12.978884419564999,0.0,12.542377887165,99,171.91792971400002,-2780.8352368000014,[1]
29,-124395,-9,-4043,-55.036762599365,-23.345636278065,-1.11712877268,0.0,-5.57055910748,-239,-217.241666667,-6466.73333333,[0]
30,-1660599,460,-9497,-688.7257730700001,-56.570964311000004,20.260508564600002,0.7244318138899999,18.99501072465,-2046,106.1151920426,896.2085546000001,[0]
31,454678,-39150,11326,311.347970799661,142.357691313975,4.385586803965,0.948904564655,4.706319965365,1278,5.5328185328,-97.01042471000005,[1]
32,-235679,-703,-2780,-77.09307002536501,-23.870573099365,-12.192274512882001,-2.4502217098749997,-12.257745648582,-307,-159.200647249,-5131.31067961,[0]
33,129556,2963,405,92.31444695225301,16.437980528365,2.4475442568349997,0.0,2.440725894291,353,-733.4269972449999,-965.7644627999998,[1]
34,-200877,-13581,-2235,24.379463181800006,-0.44820590911999947,1.415449712645,0.0,1.1811874043850001,47,-257.19688037329996,-14950.16678946,[0]
35,-1096092,-749,-10551,-70.44739603868,-18.965908664676,0.0,0.0,-0.251336785336,-278,7.790102389099999,649.685665529,[0]
36,4615,275,91,27.659094479585,13.786338228364999,2.680694873081,1.478459507325,3.8710906154559996,84,246.305882353,3851.31764706,[1]
37,536110,-3768,10006,2411.17346981984,978.82416586262,12.153296038099999,-0.24143311316000002,32.147830973984,8522,-27.201201772000005,3156.48232882,[1]
38,-479814,-11348,-16283,-1782.9925700392,-685.474540476465,-1.4654033290700004,-1.2176368641150002,-13.061153487839999,-6837,-7.178298285300002,-1241.97616305,[0]
39,9411942,-3340,17519,4321.9166222363,662.89704695311,6.501782331925,1.737877362225,-23.0782678978,12201,-2.516822367600003,-593.2744241,[1]
40,569859,150860,3857,147.4496046807,46.9078331824,20.464676582413997,0.9882579905009999,14.945642730781,253,-5.893194935999986,3486.7422658699998,[1]
41,4871914,33079,12620,172630.35053745,51908.849526193,5.21190995681,-1.2447660346800002,-4.4860145697,209719,-33.718595971410004,-1237.6386294000001,[1]
42,2122426,-547,11265,13313.192926345,1754.382132606,-5.198749560199996,9.60304065101,-8.258747987,34793,-10.608545676599999,-2252.79664215,[1]
43,-1680,-1456,-82,-0.866477210177,-0.20557010039999998,-0.019811345936000035,0.0,-0.27114813127299997,-3,-324.333333333,-4209.66666667,[0]
44,638899,-180,5919,-42.051431385,-44.4530724446,-0.48594018627000013,-0.49355660174999993,-1.7793684104699996,-117,88.06153440439999,2813.34434655,[1]
45,1480629,146524,15014,9899.77791479737,5011.74350984902,5.303102527699999,-1.931955380975,188.6492624354,28553,-181.3994921072,-2819.7717797100004,[1]
46,39776,-5447,-2038,-203.82082608230002,-92.51534918269999,0.32056846398999994,-1.202569500258,-5.063742606579999,-726,316.2127658183,23367.746136219997,[0]
47,5270,1400,261,39.235192278921005,3.765949719885,1.415449712645,0.0,1.1811874043850001,115,62.9915254237,2355.94915254,[1]
48,1091922,-1296,2276,-102.9351459544,-48.852113459799995,-11.194327336065,-2.466765808905,-10.833262744865,-401,-149.01652241789998,-2806.3300802699996,[0]
49,-142,-98,-4,-5.0806188714800005,-1.0574718790050002,-1.232394601115,-0.251336785336,-0.963983338702,-16,22.26666666669999,-724.0380952399998,[0]
50,-237794,1965,-6725,-660.14582881123,-296.794334200428,-28.157496604265,-0.7391789848479999,-20.622161632565,-2373,-63.72932330823001,-2487.7748537969997,[0]
51,130637,27,6949,-1554.186857716,-663.1789195650001,-27.7214861821,-6.9536500966000006,-88.9096526264,-3388,34.7866468167,737.7759496400001,[1]
52,161156,-43942,6482,164.8612128051,97.11546511834,2.5172848698530004,1.514213466555,-0.6726487058000004,632,-25.0094666791,227.26203643000008,[1]
53,95737,-392,355,81.255660798365,43.015391495565,6.489741751225,2.238629879265,10.46766372497,295,-39.79124579125,-2856.92592593,[1]
54,-151501,1516,-13534,-3594.4868594279,-873.8421077688199,-5.68426934469,-1.6618075432869999,-21.99428494998,-12361,210.6374110666,5818.06664025,[0]
55,-68901,-42544,-1417,-6.1665117050200005,-3.044297968139,-0.005103154808999921,0.0,-4.237128169326,-29,12.838061465700008,509.9952718700001,[0]
56,-866892,285,-13742,-128.2013826162,-54.619851415919996,-2.522046931995,-1.020656864805,-2.522046931995,-540,-132.158450704,-4909.909090909,[0]
57,-2245164,1216,-21601,-457.7624355653,-201.95805036385002,11.842928802107,0.72663241662,16.146461943323,-1791,281.3546895452,2679.6156371100005,[0]
58,344027,-13481,2422,196.59911973520002,105.8926393581,7.370836267065,0.495458722174,10.898630260465,744,-39.3271368999,-1388.78979958,[1]
59,1400559,-140,19835,962.4500211919001,577.8299691148,2.13546593127,0.705176873601,4.6452672701,4009,-81.8006055243,-1372.5951826,[1]
60,-8422,-457,-440,-10.767642035321,-2.713019686235,-15.065431553964999,-2.438163817405,-6.916255891775,-35,-122.138888889,-4560.16666667,[0]
61,-57097,549,3413,-270.37171231,-61.9643320254,-1.8313540197999991,0.5463265256700001,-4.04282748592,-1108,69.27674125029999,433.8428280599999,[0]
62,13340,3374,366,-2.4611541573510003,-1.302199271045,-2.4935859091549997,-0.49764683496599993,-0.4591449051499996,-10,120.58333333333,2384.916666667,[1]
63,214634,260,5977,4.558211733900002,-11.328231388999999,-0.26164670966799997,0.0,-1.02306650491,16,43.246662216299995,6647.622735073,[1]
64,1336963,-342,14900,19073.855115918697,14530.4120465545,-4.880815221980001,0.239018782029,9.77752502155,52378,-149.40265034222,-2689.0540106959998,[1]
65,4491288,650,29872,4498.902478746871,2206.471394261465,26.599462187063,12.527779364065,28.445919456818,16641,-82.65227367290001,1016.4207335199999,[1]
66,-65018,-128007,-5062,-708.6183896489999,-258.4875108495,0.6877962251400005,2.316328011665,-27.79861393835,-2085,-22.747824539300012,-1499.1959534799994,[0]
67,-2224545,37735,-10500,-6781.952998149661,-2944.2487074619753,-12.855219929165,-2.691357618125,-66.10570494166501,-21676,36.1406356879,538.2979843999999,[0]
68,-1259232,-182,-6095,-908.548818170465,-211.23316761146498,-11.672454445382,-7.465139581665,-12.443054676082001,-3366,-10.0486660803,-1326.84286133,[0]
69,-1467170,-741,-38619,-3217.3052917807,-1374.1421711223,-7.460873547424001,-6.2259326874909995,-22.110768074981,-11773,183.7231313841,6137.653815400001,[0]
70,5915371,-254,7482,65756.07054627332,32053.341040359854,0.7502801294929999,0.0,1.27401805144,187663,-7.257033420019999,679.454993878,[1]
71,-343069,9281,3042,1707.9178907363,656.9018176459999,-2.11995845616,-1.29765398018,10.77716779215,6516,2.4005774147000025,-827.63817754,[1]
72,6560947,-17,16052,2432.161114393,569.882832005,2.245677062114,0.48286622632099996,1.53189698019,8190,1.9981027832600002,1282.0626407999998,[1]
73,5151,1710,106,-18.634687387600003,-27.87704721973,-44.85534780019,1.0192233400350001,-38.06717998387,-62,38.4727891156,507.32178453000006,[1]
74,574603,1184,7093,257.3886341368,131.96497554658,13.51707261292,4.7066764537350005,6.98037236381,1085,23.1922494107,1043.83313223,[1]
75,-6106469,119323,-38240,-16468.998998216302,-9799.436854504,4.94045865594,-4.239708176895,-5.25797636474,-61636,157.6152127554,5046.84043456,[0]
76,-47423,-483,-1214,-234.3834034299,-67.88929270311,0.19490485038999994,-0.27886257447999996,-17.92423960398,-962,10.411507936500001,120.09999999999991,[0]
77,664,-1021,56,6.596862177185001,1.325175065595,4.383103881145001,1.232451216025,3.6730500562149997,29,79.2068965517,2846.79310345,[1]
78,4267269,484,23686,4443.2709710007,2194.7178405812,26.866421384765,12.527779364065,23.2868431989,16435,-32.17750731779999,-5005.24281788,[1]
79,-736,235,10,-10.952092832268,-2.412052938765,-1.008062853105,-0.25643994014500004,-1.9936750676150001,-44,249.3913043478,2085.06521739,[0]
80,-17721851,-46496,-84157,-15716.788811985,-5583.419619786,4.667825821767,2.2133867866049997,4.69686806002,-58711,50.022549701200006,636.54627319,[0]
81,-22271,-2003,9,-9.951223558561,-3.089817021635,-0.49070224841199994,0.0,-4.974064048265,-45,-29.106382978699997,-495.39361701999997,[0]
